Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
nike-dunk-high-1985-green-denim,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN2.png?v=1737488261,2,,,,,,,,,,,,,,,,,,,,,
nike-dunk-high-1985-green-denim,,,,,,,,,US 5.5 (W),,,DV1143-300,,,,deny,manual,65.0,125.0,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN1.png?v=1737488263,1,,,,,,,,,,,,,,,,,,,,,active
nike-dunk-high-1985-green-denim,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN2.png?v=1737488261,2,,,,,,,,,,,,,,,,,,,,,
nike-dunk-high-1985-green-denim,,,,,,,,,US 6 (W),,,DV1143-300,,,,deny,manual,65.0,125.0,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN1.png?v=1737488263,1,,,,,,,,,,,,,,,,,,,,,active
nike-dunk-high-1985-green-denim,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN2.png?v=1737488261,2,,,,,,,,,,,,,,,,,,,,,
nike-dunk-high-1985-green-denim,,,,,,,,,US 6.5 (W),,,DV1143-300,,,,deny,manual,65.0,125.0,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN1.png?v=1737488263,1,,,,,,,,,,,,,,,,,,,,,active
nike-dunk-high-1985-green-denim,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN2.png?v=1737488261,2,,,,,,,,,,,,,,,,,,,,,
nike-dunk-high-1985-green-denim,,,,,,,,,US 7 (W),,,DV1143-300,,,,deny,manual,65.0,125.0,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN1.png?v=1737488263,1,,,,,,,,,,,,,,,,,,,,,active
nike-dunk-high-1985-green-denim,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN2.png?v=1737488261,2,,,,,,,,,,,,,,,,,,,,,
nike-dunk-high-1985-green-denim,,,,,,,,,US 9 (W),,,DV1143-300,,,,deny,manual,65.0,125.0,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN1.png?v=1737488263,1,,,,,,,,,,,,,,,,,,,,,active
nike-dunk-high-1985-green-denim,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN2.png?v=1737488261,2,,,,,,,,,,,,,,,,,,,,,
nike-dunk-high-1985-green-denim,,,,,,,,,US 9.5 (W),,,DV1143-300,,,,deny,manual,65.0,125.0,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN1.png?v=1737488263,1,,,,,,,,,,,,,,,,,,,,,active
nike-dunk-high-1985-green-denim,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN2.png?v=1737488261,2,,,,,,,,,,,,,,,,,,,,,
nike-dunk-high-1985-green-denim,,,,,,,,,US 10.5 (W),,,DV1143-300,,,,deny,manual,65.0,125.0,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN1.png?v=1737488263,1,,,,,,,,,,,,,,,,,,,,,active
nike-dunk-high-1985-green-denim,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN2.png?v=1737488261,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,NIKE AIR MAX 1 '87 QS GORGE GREEN,"<p><p>Use size chart in pictures to choose correct size.</p><br/><p>Make the team with the Air Max 1 Obsidian. Dressed in varsity hues, the suede and nylon upper delivers a sporty finish, while embroidered accents put extra pep in your step. The Gum outsole completes your 'fit with vintage style. Fast-paced looks, tried-and-tested cushioning and that classic wavy mudguard—no wonder it's reigned supreme since 1987.</p></p>",Notorious Plug,all-products-2,,"NOTFORLTS, ALL PRODUCTS, FOOTWEAR, NIKE, OUR PICKS, SNEAKERS, WOMENS, Women, All Women",TRUE,Size,US 5 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
